producto_id,nombre,categoria,precio,stock,mes_relevante
74a58045-e615-46a6-8408-e6eaad4cf9ad,Laptop Quam,Electrónicos,334.83,478,4
21864b80-d120-43b0-9023-ca43a0d1d032,Camiseta Dolores,Ropa,481.89,538,3
b43e16c0-c101-416a-841f-2ac9a58e6d8e,Camiseta In,Ropa,316.38,222,10
50d36dec-6c51-47bd-bf13-878c41648c2c,Camiseta Nobis,Ropa,318.2,420,7
70e1f038-64d2-4ec2-ac8a-3d5087ec2182,Laptop Nobis,Electrónicos,410.72,253,11
9969e03f-ec13-4294-b409-7180bb4f2778,Cocina Vel,Hogar,325.83,752,3
1cf9b83c-4aab-494c-a311-b75968087e05,Cocina Minima,Hogar,470.16,341,7
f208062a-05b0-4779-b009-ea670fda709f,Camiseta Numquam,Ropa,362.48,924,11
ac2dfde9-a11d-40ba-a40f-762ec239fa41,Lámpara Quos,Hogar,112.54,655,10
eafef9b3-39e4-4a9f-85f9-fb0146039448,Laptop Id,Electrónicos,287.36,351,4
43728182-ff66-47d0-bbde-286238fa5f7c,Laptop Eligendi,Electrónicos,234.52,557,9
d8a82a9a-4de4-4a9a-8a14-c5330d3d8939,Lámpara Error,Hogar,136.76,479,6
b3230cb5-5803-4438-af77-f4a7292ab68a,Camiseta Nesciunt,Ropa,524.52,734,12
98a76ce5-5284-4a8f-89fe-c64602b3f40a,Smartphone Impedit,Electrónicos,169.14,840,4
b19fb42b-ad69-4c9d-9a88-bf31715420eb,Sofá Perferendis,Hogar,465.94,957,3
521e1ac2-6c96-4494-a44a-24f116484f5a,Smartphone Amet,Electrónicos,150.02,356,3
0848ee45-4304-4a11-8a85-e6535361dc8b,Cocina Saepe,Hogar,209.02,569,7
035e8abc-8dfa-4008-a632-fb8d5dec94e3,Tablet Odit,Electrónicos,487.03,798,10
a2a4e98b-ef55-49cf-a721-b4dd6b412492,Lámpara Ad,Hogar,172.68,347,8
8ca25655-6dc8-467b-8405-919790b744de,Laptop Commodi,Electrónicos,23.02,149,11
72396a28-9d3b-4557-886b-2198e213b3ef,Smartphone Minus,Electrónicos,470.0,100,6
d37f9404-a7ab-4c1f-8259-9713dcaac0be,Lámpara Eum,Hogar,186.83,972,5
27348b59-d469-4eb6-8f2c-b553e7b55ca0,Zapatos Provident,Ropa,313.06,42,3
acdb630f-6b03-46dd-8fae-445ee79dc0dc,Camiseta Ducimus,Ropa,65.1,87,3
b5fdd814-f7cc-4d51-86b2-aab82326b7a1,Lámpara Deleniti,Hogar,126.23,958,9
8b2996b2-02ac-47c5-a3b0-bb9ffad78c6c,Laptop Maxime,Electrónicos,234.17,177,5
c92e5192-dd1a-4109-b279-5bda3fd2999f,Lámpara Sint,Hogar,281.62,50,3
34c5efc7-0403-469c-be3b-708dce264c78,Tablet Aut,Electrónicos,214.41,33,5
c56232c2-3ebc-4bca-9b43-7e6c0759bdf9,Sofá Earum,Hogar,346.04,803,10
b26dea2c-f4d0-4ae1-a9f6-56d3f568d360,Sofá Facere,Hogar,120.84,983,6
bc766468-8cf0-436c-8259-ed430c9f770e,Laptop Dignissimos,Electrónicos,45.85,6,1
aca00eef-4b93-4d28-9aea-ba04f47efbf9,Cocina Iure,Hogar,478.47,857,2
a1a67d06-9d6f-4c4e-b378-eb3ce52dcbc5,Laptop Deserunt,Electrónicos,192.66,388,9
11ca571e-4517-4652-95a9-d624c448253e,Pantalón Sunt,Ropa,252.1,232,4
02a65987-53d7-4f87-b52a-05c0850dc07b,Smartphone Quas,Electrónicos,272.92,471,2
0abd4100-c8cd-4dbf-9e02-9ac6bd4288b2,Tablet Consequuntur,Electrónicos,201.09,479,9
93259901-2d4d-4949-b87e-e1e749786250,Laptop Commodi,Electrónicos,303.63,384,7
bc71aa62-e114-40a5-8eb3-8aa5270e69a4,Lámpara Illo,Hogar,341.03,11,1
3336fd11-d3f6-46ae-9bcc-f0e456e632f5,Tablet Tempore,Electrónicos,322.25,867,7
50884049-56c6-4b6f-95f1-1fbf477c33b3,Pantalón Mollitia,Ropa,393.52,84,10
aaea6bae-c7fa-4093-bd85-6d8dff220055,Camiseta Temporibus,Ropa,73.06,114,8
2dbd41e8-f690-4c17-b0ff-42c555009e85,Cocina Iusto,Hogar,73.67,477,8
03ed2125-2eb2-4347-b35c-bd9340a96455,Cocina Quia,Hogar,31.01,521,9
b4f9872b-4cb5-4e5b-8ecc-3580bfafee68,Cocina Numquam,Hogar,424.1,568,3
96665cbd-da09-40c4-a3b8-5e243e99b3e9,Zapatos Quam,Ropa,276.76,126,10
0e66d9eb-34e6-413e-94cd-a53db14d2b80,Zapatos Deserunt,Ropa,78.34,456,7
3afa64a8-ad74-4c79-9400-085255ebaffc,Laptop Culpa,Electrónicos,19.74,40,9
5c89db89-af41-4065-b5bd-3d3535c5bfe3,Sofá Repudiandae,Hogar,233.28,80,4
b53aa61f-c672-4bfb-aa9f-e0707c0f9648,Zapatos Dolor,Ropa,191.22,207,2
07d90649-4359-462d-a740-55968eddd2c1,Lámpara Minus,Hogar,173.11,978,4
46315e42-31c6-452e-8a6d-a2d5667a25ca,Camiseta Eum,Ropa,207.95,712,1
77b6c4a2-cb3c-41a0-9b9f-29f1ac97b9a3,Zapatos Perferendis,Ropa,134.22,613,3
e5760e1d-90a5-4a96-9712-1bcbd7cb697d,Tablet Totam,Electrónicos,157.18,311,7
54762f22-820c-4ea2-8815-46267a21c4d0,Camiseta Ad,Ropa,212.74,760,8
1d332d6d-23d1-4767-99c6-dc59c894908c,Tablet Iusto,Electrónicos,172.24,523,11
f1bb37ce-4a4f-419c-9249-57b466d7e27a,Cocina Corrupti,Hogar,105.76,717,4
4ff55842-7b0c-4150-a64b-97364e4f06bb,Cocina Mollitia,Hogar,133.2,540,9
64a9f66f-a153-4c36-abf0-3030d4d37859,Lámpara Dolore,Hogar,342.68,346,1
